たんじょうび;anniversaire
ははのひ;Fête de mère
ちちのひ;Fête de père
くりすます;Noël
おしょうがつ;jour de l’an
ばれんたいんでー ;St.Valentin
いつ;quand
あさ;matin
ひる;jour, midi
ばん / よる;soir
けさ;ce matin
こんばん;ce soir
ゆうべ;hier soir
ごぜんちゅう;dans la matinée
きょうのごご;cet après-midi
こんしゅう;cette semaine
らいしゅう;la semaine prochaine
さらいしゅう;dans 2 semaines
せんしゅう;la semaine dernière
せんせんしゅう;il y a 2 semaines
こんげつ;ce mois
らいげつ;mois prochain
さらいげつ;dans 2 mois
まいつき;tous les mois
せんげつ;le mois dernier
ことし;Cette année
らいねん;L’année prochaine
さらいねん;Dans 2 ans
きょねん;L’année dernière
おととし;Il y a 2 ans
しゅうまつ;fin de semaine
こんしゅうまつ;ce week-end
らいしゅうまつ;le prochain week-end
せんしゅうまつ;le week-end dernier
ねんまつ;La fin d’année
げつまつ;La fin du mois
まいあさ;tous les matins
まいにち;tous les jours
まいばん; tous les soirs
まいしゅう;toutes les semaines
まいつき; tous les soirs
まいねん、まいとし;toutes les années
いちがつ;janvier
にがつ;février
さんがつ;mars
しがつ;avril
ごがつ;mai
ろくがつ;juin
しちがつ;Juillet
はちがつ;Août
くがつ;Septembre
じゅうがつ;Octobre
じゅういちがつ;Novembre
じゅうにがつ;décembre
なんがつ;quel mois
ついたち;Le 1er
ふつか;Le 2
みっか;Le 3
よっか;Le 4
いつか;Le 5
むいか;Le 6
なのか;Le 7
ようか;Le 8 
ここのか;Le 9
とおか;Le 10 
じゅうよっか;le 14
はつか;le 20
にじゅうよっか;le 24
なんにち;quel jour
げつようび;lundi
かようび;mardi
sすいようび;mercredi
もくようび;jeudi
きんようび;vendredi
どようび;samedi
にちようび ;dimanche
なんようび;quel jour de la semaine?
kyô;aujourd'hui
ashita;demain
asatte;après-demain
kinô;hier
ototoi;avant-hier
gozen;AM
gogo;PM
kara;depuis, de
made;jusqu'à
shôgo;midi pile
hiruyasumi;pause déjeuner
toshi;Âge
nansai;quel âge as-tu?
oikutsu;quel âge avez-vous?
