Okiru / Okimasu; ;se lever        
Neru / Nemasu; ;se coucher 
Miru / Mimasu; ;regarder
Taberu / Tabemasu; ;manger
Akeru / Akemasu ; ; ouvrir
Iru / Imasu; ;être (rester)
Kaeru / Kaerimasu; ;Rentrer, revenir
Kaku / Kakimasu; ;écrire  
Kiku / Kikimasu; ;écouter
Yomu / Yomimasu; ;lire
Nomu / Nomimasu; ;boire
Matsu / Machimasu; ;attendre
Iku / Ikimasu; ; aller
Owaru / Owarimasu; ;se terminer
Hanasu / Hanashimasu; ;parler        
Kau / Kaïmasu; ;acheter            
Aru / Arimasu; ;être (exister)
Oeru / Oemasu; ;terminer
Hataraku / Hatarakimasu; ;travailler
Kuru / Kimasu; ;venir      
Suru / Shimasu; ;faire? 
Da / Desu; ;être
