haha; ;ma mère
chichi; ;mon père
tomodachi; ;ami
Kozoku; ;famille
Kanojyo; ;ma petite amie
Kare; ;mon copain
Kareshi; ;mon petit ami
uchi / ie; ;maison, ma maison, chez moi
ocha; ;thé en général
kôcha; ;thé noir
miruku; ;lait de vache
kôhî; ;café
mizu; ;eau
hako; ;boîte
ongaku; ;musique
haha to hanashimasu; ;parler avec ma mère
shukudai; ;devoir
ryôri; ;cuisine
benkyô; ;études
tenisu; ;tennis
kaimono; ;courses
asa; ;matin
hiru; ;midi, jour
ban; ;soir
gohan; ;repas
taihen; ;fastidieux, catastrophe, dûr, penible
Okuni wa dochira  (doko) desuka.; ;Quel est votre pays?
Dochira kara kimashitaka.; ;De quel pays venez-vous?
shokugyô; ;profession
Goshokugyo; ;votre profession
shigoto ; ;traÒvail
Oshigoto ; ;votre travail
shigotoba; ;lieu de travail
hiruyasumi; ;pause déjeuner
denwa bangô; ;numéro de téléphone
nanban; ;quel numéro
jûsho; ;adresse
gojûsho; ;votre adresse
toshi; ;âge
nansai; ;quel âge as-tu?
oikutsu; ;quel âge avez-vous?
rei; ;exemple
shitumon; ;question
kotae; ;réponse
en; ;yen
chez vous; ;otaku
la maison; ;taku
